"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
264,MXGP 2,Racing,Milestone S.r.l.,0.07,0.02,0,0.01,0.1,"2016-01-01"
265,NASCAR Heat Evolution,Racing,Dusenberry Martin Racing,0.09,0,0,0.01,0.1,"2016-01-01"
266,TrackMania Turbo,Racing,Ubisoft,0.05,0.04,0,0.01,0.1,"2016-01-01"
267,Divinity: Original Sin,Role-Playing,Focus Home Interactive,0.06,0.03,0,0.01,0.1,"2015-01-01"
268,Dead or Alive 5,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1,"2015-01-01"
269,Pro Evolution Soccer 2017,Sports,Konami Digital Entertainment,0.05,0.03,0,0.01,0.1,"2016-01-01"
270,Resident Evil Zero,Action-Adventure,Capcom,0.07,0.02,0,0.01,0.1,"2016-01-01"
271,Sword Art Online: Fatal Bullet,Role-Playing,Namco Bandai Games,0.09,0,0,0.01,0.1,"2018-01-01"
272,Yooka-Laylee,Platform,Sold Out,0.05,0.04,0,0.01,0.1,"2017-01-01"
273,Real Farm,Simulation,Soedesco,0.08,0,0,0.01,0.1,"2017-01-01"
274,We Happy Few,Action-Adventure,Gearbox Software,0.07,0.01,0,0.01,0.09,"2018-01-01"
275,Duke Nukem 3D: 20th Anniversary World Tour,Shooter,Gearbox Software,0.08,0,0,0.01,0.09,"2016-01-01"
276,The Wolf Among Us,Adventure,Telltale Games,0.06,0.02,0,0.01,0.09,"2014-01-01"
277,Attack on Titan 2,Action,Koei Tecmo,0.08,0,0,0.01,0.09,"2018-01-01"
278,Rugby 15,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09,"2015-01-01"
279,MXGP 3: The Official Motocross Videogame,Racing,Milestone,0.06,0.02,0,0.01,0.09,"2017-01-01"
280,Bladestorm: Nightmare,Action,Tecmo Koei,0.06,0.02,0,0.01,0.08,"2015-01-01"
281,Monster Energy Supercross - The Official Videogame,Racing,Milestone S.r.l.,0.08,0,0,0.01,0.08,"2018-01-01"
282,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Misc,Ubisoft,0.08,0,0,0.01,0.08,"2017-01-01"
283,Dead Island Definitive Collection,Action,Deep Silver,0.05,0.03,0,0.01,0.08,"2016-01-01"
284,Ride 2,Racing,Milestone S.r.l,0.06,0.01,0,0.01,0.08,"2016-01-01"
285,Elite: Dangerous,Simulation,Frontier Developments,0.07,0,0,0.01,0.08,"2017-01-01"
286,Just Dance: Disney Party 2,Music,Ubisoft,0.06,0.01,0,0.01,0.08,"2015-01-01"
287,Bulletstorm: Full Clip Edition,Shooter,Gearbox Software,0.06,0.01,0,0.01,0.08,"2017-01-01"
288,Micro Machines: World Series,Racing,Codemasters,0.02,0.05,0,0.01,0.08,"2017-01-01"
289,Darksiders II,Action-Adventure,Nordic Games,0.05,0.03,0,0.01,0.08,"2015-01-01"
290,Sherlock Holmes: Crimes & Punishments,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,"2014-01-01"
291,Toy Soldiers: War Chest,Action,Ubisoft,0.07,0,0,0.01,0.08,"2015-01-01"
292,BlazBlue: Chrono Phantasma Extend,Fighting,PQube,0.06,0.01,0,0.01,0.08,"2015-01-01"
293,Metal Gear Survive,Action,Konami Digital Entertainment,0.05,0.01,0,0.01,0.08,"2018-01-01"
